root@comp3134:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
20:46:09.354766 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 2504971002:2504971110, ack 561089138, win 501, options [nop,nop,TS val 1836012282 ecr 1565995545], length 108
20:46:09.760233 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19208:19412, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 204
20:46:09.760279 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19412:19448, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 36
20:46:09.760342 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19448:19636, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 188
20:46:09.760418 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19636:19824, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 188
20:46:09.760529 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 19824:20332, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 508
20:46:09.760617 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 20332:20520, ack 1, win 501, options [nop,nop,TS val 1836012687 ecr 1565995876], length 188
20:46:09.773195 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 13892, win 5582, options [nop,nop,TS val 1565995964 ecr 1836012685], length 0
20:46:09.779203 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 16532, win 5540, options [nop,nop,TS val 1565995964 ecr 1836012686], length 0
20:46:09.779203 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 16532, win 5645, options [nop,nop,TS val 1565995964 ecr 1836012686], length 0
20:46:09.779203 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 18488, win 5614, options [nop,nop,TS val 1565995966 ecr 1836012687], length 0
20:46:09.779203 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 20520, win 5613, options [nop,nop,TS val 1565995968 ecr 1836012687], length 0
20:46:09.860985 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 20520:20724, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 204
20:46:09.861078 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 20724:20964, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 240
20:46:09.861150 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 20964:21336, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861206 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 21336:21708, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861259 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 21708:22080, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861329 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 22080:22452, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861383 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 22452:22824, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861468 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 22824:23196, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 372
20:46:09.861552 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 23196:23736, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 540
20:46:09.861644 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 23736:24276, ack 1, win 501, options [nop,nop,TS val 1836012788 ecr 1565995968], length 540
20:46:09.861725 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 24276:24816, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 540
20:46:09.861822 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 24816:25356, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 540
20:46:09.861897 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 25356:25896, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 540
20:46:09.861951 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 25896:26268, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862017 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 26268:26808, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 540
20:46:09.862071 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 26808:27180, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862158 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 27180:27552, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862217 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 27552:27756, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 204
20:46:09.862288 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 27756:28128, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862355 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 28128:28500, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862410 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 28500:28704, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 204
20:46:09.862478 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 28704:29076, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862548 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 29076:29448, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862623 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 29448:29820, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862680 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 29820:30192, ack 1, win 501, options [nop,nop,TS val 1836012789 ecr 1565995968], length 372
20:46:09.862753 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 30192:30564, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.862858 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 30564:31272, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 708
20:46:09.862927 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 31272:31644, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.862999 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 31644:32016, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.863067 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 32016:32388, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.863135 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 32388:32760, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.863192 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 32760:32964, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 204
20:46:09.863301 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 32964:33336, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.863383 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 33336:33540, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 204
20:46:09.863430 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 33540:33744, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 204
20:46:09.863469 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 33744:33780, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 36
20:46:09.863507 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 33780:34152, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 372
20:46:09.863561 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 34152:34492, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 340
20:46:09.863615 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 34492:34832, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 340
20:46:09.863666 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 34832:35028, ack 1, win 501, options [nop,nop,TS val 1836012790 ecr 1565995968], length 196
20:46:09.877625 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 32964, win 5450, options [nop,nop,TS val 1565996070 ecr 1836012790], length 0
20:46:09.877625 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 33780, win 5438, options [nop,nop,TS val 1565996070 ecr 1836012790], length 0
20:46:09.877625 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 33780, win 5645, options [nop,nop,TS val 1565996070 ecr 1836012790], length 0
20:46:09.885001 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 35028, win 5645, options [nop,nop,TS val 1565996072 ecr 1836012790], length 0
20:46:09.964945 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 35028:35232, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 204
20:46:09.965053 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 35232:35436, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 204
20:46:09.965088 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 35436:35640, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 204
20:46:09.965150 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 35640:36180, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 540
20:46:09.965240 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 36180:36888, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 708
20:46:09.965294 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 36888:37260, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 372
20:46:09.965365 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 37260:37800, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 540
20:46:09.965431 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 37800:38340, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 540
20:46:09.965484 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 38340:38712, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 372
20:46:09.965537 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 38712:39084, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 372
20:46:09.965589 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 39084:39456, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 372
20:46:09.965666 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 39456:39828, ack 1, win 501, options [nop,nop,TS val 1836012892 ecr 1565996072], length 372
20:46:09.965738 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 39828:40200, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 372
20:46:09.965807 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 40200:40572, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 372
20:46:09.965918 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 40572:41148, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 576
20:46:09.966006 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 41148:41520, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 372
20:46:09.966058 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 41520:41724, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 204
20:46:09.966115 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 41724:41928, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 204
20:46:09.966183 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 41928:42300, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 372
20:46:09.966252 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 42300:42656, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 356
20:46:09.966308 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 42656:42852, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 196
20:46:09.966375 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 42852:43192, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 340
20:46:09.966421 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 43192:43228, ack 1, win 501, options [nop,nop,TS val 1836012893 ecr 1565996072], length 36
20:46:09.995009 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 43228, win 5645, options [nop,nop,TS val 1565996184 ecr 1836012893], length 0
20:46:10.068996 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 43228:43432, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 204
20:46:10.069154 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 43432:43636, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 204
20:46:10.069281 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 43636:44344, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 708
20:46:10.069395 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 44344:45220, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 876
20:46:10.069466 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 45220:45760, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 540
20:46:10.069546 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 45760:46132, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 372
20:46:10.069651 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 46132:46672, ack 1, win 501, options [nop,nop,TS val 1836012996 ecr 1565996184], length 540
20:46:10.069829 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 46672:47416, ack 1, win 501, options [nop,nop,TS val 1836012997 ecr 1565996184], length 744
20:46:10.069892 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 47416:47612, ack 1, win 501, options [nop,nop,TS val 1836012997 ecr 1565996184], length 196
20:46:10.083428 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 44344, win 5645, options [nop,nop,TS val 1565996274 ecr 1836012996], length 0
20:46:10.083428 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 47612, win 5645, options [nop,nop,TS val 1565996275 ecr 1836012997], length 0
20:46:10.172955 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 47612:47816, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 204
20:46:10.173047 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 47816:48056, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 240
20:46:10.173124 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 48056:48596, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 540
20:46:10.173180 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 48596:48968, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 372
20:46:10.173245 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 48968:49492, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 524
20:46:10.173294 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 49492:49688, ack 1, win 501, options [nop,nop,TS val 1836013100 ecr 1565996275], length 196
20:46:10.203155 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 49688, win 5645, options [nop,nop,TS val 1565996384 ecr 1836013100], length 0
20:46:10.276938 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 49688:49892, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 204
20:46:10.277024 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 49892:50096, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 204
20:46:10.277063 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 50096:50300, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 204
20:46:10.277106 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 50300:50504, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 204
20:46:10.277162 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 50504:50876, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 372
20:46:10.277209 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 50876:51072, ack 1, win 501, options [nop,nop,TS val 1836013204 ecr 1565996384], length 196
20:46:10.297008 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 51072, win 5645, options [nop,nop,TS val 1565996488 ecr 1836013204], length 0
20:46:10.380943 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 51072:51276, ack 1, win 501, options [nop,nop,TS val 1836013308 ecr 1565996488], length 204
20:46:10.381049 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 51276:51816, ack 1, win 501, options [nop,nop,TS val 1836013308 ecr 1565996488], length 540
20:46:10.381119 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 51816:52188, ack 1, win 501, options [nop,nop,TS val 1836013308 ecr 1565996488], length 372
20:46:10.381156 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 52188:52376, ack 1, win 501, options [nop,nop,TS val 1836013308 ecr 1565996488], length 188
20:46:10.381224 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 52376:52412, ack 1, win 501, options [nop,nop,TS val 1836013308 ecr 1565996488], length 36
20:46:10.399060 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 52412, win 5645, options [nop,nop,TS val 1565996591 ecr 1836013308], length 0
20:46:10.485111 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 52412:52616, ack 1, win 501, options [nop,nop,TS val 1836013412 ecr 1565996591], length 204
20:46:10.485249 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 52616:53324, ack 1, win 501, options [nop,nop,TS val 1836013412 ecr 1565996591], length 708
20:46:10.485313 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 53324:53520, ack 1, win 501, options [nop,nop,TS val 1836013412 ecr 1565996591], length 196
20:46:10.502851 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 53520, win 5645, options [nop,nop,TS val 1565996694 ecr 1836013412], length 0
20:46:10.588985 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 53520:53724, ack 1, win 501, options [nop,nop,TS val 1836013516 ecr 1565996694], length 204
20:46:10.589179 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 53724:54096, ack 1, win 501, options [nop,nop,TS val 1836013516 ecr 1565996694], length 372
20:46:10.589307 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 54096:54292, ack 1, win 501, options [nop,nop,TS val 1836013516 ecr 1565996694], length 196
20:46:10.607071 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 54292, win 5645, options [nop,nop,TS val 1565996798 ecr 1836013516], length 0
20:46:10.692974 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 54292:54496, ack 1, win 501, options [nop,nop,TS val 1836013620 ecr 1565996798], length 204
20:46:10.693109 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 54496:55028, ack 1, win 501, options [nop,nop,TS val 1836013620 ecr 1565996798], length 532
20:46:10.719778 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 55028, win 5645, options [nop,nop,TS val 1565996906 ecr 1836013620], length 0
20:46:10.796984 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55028:55232, ack 1, win 501, options [nop,nop,TS val 1836013724 ecr 1565996906], length 204
20:46:10.797208 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55232:55436, ack 1, win 501, options [nop,nop,TS val 1836013724 ecr 1565996906], length 204
20:46:10.797352 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55436:55624, ack 1, win 501, options [nop,nop,TS val 1836013724 ecr 1565996906], length 188
20:46:10.797455 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55624:55660, ack 1, win 501, options [nop,nop,TS val 1836013724 ecr 1565996906], length 36
20:46:10.820152 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 55660, win 5645, options [nop,nop,TS val 1565997012 ecr 1836013724], length 0
20:46:10.900923 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55660:55864, ack 1, win 501, options [nop,nop,TS val 1836013828 ecr 1565997012], length 204
20:46:10.901082 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 55864:56556, ack 1, win 501, options [nop,nop,TS val 1836013828 ecr 1565997012], length 692
20:46:10.915513 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 56556, win 5645, options [nop,nop,TS val 1565997108 ecr 1836013828], length 0
20:46:11.005007 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 56556:56760, ack 1, win 501, options [nop,nop,TS val 1836013932 ecr 1565997108], length 204
20:46:11.005135 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 56760:57116, ack 1, win 501, options [nop,nop,TS val 1836013932 ecr 1565997108], length 356
20:46:11.005246 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 57116:57152, ack 1, win 501, options [nop,nop,TS val 1836013932 ecr 1565997108], length 36
20:46:11.023145 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 57152, win 5645, options [nop,nop,TS val 1565997214 ecr 1836013932], length 0
20:46:11.108944 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 57152:57356, ack 1, win 501, options [nop,nop,TS val 1836014036 ecr 1565997214], length 204
20:46:11.109061 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 57356:57880, ack 1, win 501, options [nop,nop,TS val 1836014036 ecr 1565997214], length 524
20:46:11.109114 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 57880:57916, ack 1, win 501, options [nop,nop,TS val 1836014036 ecr 1565997214], length 36
20:46:11.127698 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 57916, win 5645, options [nop,nop,TS val 1565997319 ecr 1836014036], length 0
20:46:11.212991 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 57916:58120, ack 1, win 501, options [nop,nop,TS val 1836014140 ecr 1565997319], length 204
20:46:11.213115 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 58120:58324, ack 1, win 501, options [nop,nop,TS val 1836014140 ecr 1565997319], length 204
20:46:11.213185 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 58324:58680, ack 1, win 501, options [nop,nop,TS val 1836014140 ecr 1565997319], length 356
20:46:11.237209 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 58680, win 5645, options [nop,nop,TS val 1565997424 ecr 1836014140], length 0
20:46:11.316949 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 58680:58884, ack 1, win 501, options [nop,nop,TS val 1836014244 ecr 1565997424], length 204
20:46:11.317043 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 58884:59088, ack 1, win 501, options [nop,nop,TS val 1836014244 ecr 1565997424], length 204
20:46:11.317137 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 59088:59452, ack 1, win 501, options [nop,nop,TS val 1836014244 ecr 1565997424], length 364
20:46:11.335560 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 59452, win 5645, options [nop,nop,TS val 1565997526 ecr 1836014244], length 0
20:46:11.421025 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 59452:59656, ack 1, win 501, options [nop,nop,TS val 1836014348 ecr 1565997526], length 204
20:46:11.421208 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 59656:60180, ack 1, win 501, options [nop,nop,TS val 1836014348 ecr 1565997526], length 524
20:46:11.421265 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 60180:60216, ack 1, win 501, options [nop,nop,TS val 1836014348 ecr 1565997526], length 36
20:46:11.435237 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 60216, win 5645, options [nop,nop,TS val 1565997631 ecr 1836014348], length 0
20:46:11.439549 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [P.], seq 1:37, ack 60216, win 5645, options [nop,nop,TS val 1565997631 ecr 1836014348], length 36
20:46:11.480773 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [.], ack 37, win 501, options [nop,nop,TS val 1836014408 ecr 1565997631], length 0
20:46:11.525084 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 60216:61220, ack 37, win 501, options [nop,nop,TS val 1836014452 ecr 1565997631], length 1004
20:46:11.541670 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 61220, win 5645, options [nop,nop,TS val 1565997732 ecr 1836014452], length 0
20:46:11.628978 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 61220:61576, ack 37, win 501, options [nop,nop,TS val 1836014556 ecr 1565997732], length 356
20:46:11.629099 IP 134.122.40.82.22 > 72.138.198.40.57460: Flags [P.], seq 61576:61612, ack 37, win 501, options [nop,nop,TS val 1836014556 ecr 1565997732], length 36
20:46:11.647022 IP 72.138.198.40.57460 > 134.122.40.82.22: Flags [.], ack 61612, win 5645, options [nop,nop,TS val 1565997839 ecr 1836014556], length 0
